,mechanosensitive
0,ENSG00000187608|ISG15
1,ENSG00000142798|HSPG2
2,ENSG00000070831|CDC42
3,ENSG00000117632|STMN1
4,ENSG00000253368|TRNP1
5,ENSG00000090020|SLC9A1
6,ENSG00000130766|SESN2
7,ENSG00000175130|MARCKSL1
8,ENSG00000162522|KIAA1522
9,ENSG00000160094|ZNF362
10,ENSG00000127603|MACF1
11,ENSG00000157216|SSBP3
12,ENSG00000177606|JUN
13,ENSG00000142871|CCN1
14,ENSG00000162692|VCAM1
15,ENSG00000085491|SLC25A24
16,ENSG00000168765|GSTM4
17,ENSG00000134250|NOTCH2
18,ENSG00000288825|H2AC18
19,ENSG00000160789|LMNA
20,ENSG00000117143|UAP1
21,ENSG00000073756|PTGS2
22,ENSG00000198625|MDM4
23,ENSG00000196352|CD55
24,ENSG00000082482|KCNK2
25,ENSG00000092969|TGFB2
26,ENSG00000162909|CAPN2
27,ENSG00000196187|TMEM63A
28,ENSG00000163050|COQ8A
29,ENSG00000143632|ACTA1
30,ENSG00000134318|ROCK2
31,ENSG00000163029|SMC6
32,ENSG00000143878|RHOB
33,ENSG00000115129|TP53I3
34,ENSG00000197329|PELI1
35,ENSG00000138071|ACTR2
36,ENSG00000163017|ACTG2
37,ENSG00000115318|LOXL3
38,ENSG00000071054|MAP4K4
39,ENSG00000115091|ACTR3
40,ENSG00000152082|MZT2B
41,ENSG00000115963|RND3
42,ENSG00000080345|RIF1
43,ENSG00000091409|ITGA6
44,ENSG00000116044|NFE2L2
45,ENSG00000155657|TTN
46,ENSG00000138448|ITGAV
47,ENSG00000118257|NRP2
48,ENSG00000115414|FN1
49,ENSG00000163466|ARPC2
50,ENSG00000175084|DES
51,ENSG00000135932|CAB39
52,ENSG00000135916|ITM2C
53,ENSG00000168036|CTNNB1
54,ENSG00000164050|PLXNB1
55,ENSG00000067560|RHOA
56,ENSG00000136068|FLNB
57,ENSG00000144802|NFKBIZ
58,ENSG00000114554|PLXNA1
59,ENSG00000184897|H1-10
60,ENSG00000004399|PLXND1
61,ENSG00000177311|ZBTB38
62,ENSG00000144935|TRPC1
63,ENSG00000018408|WWTR1
64,ENSG00000163661|PTX3
65,ENSG00000113810|SMC4
66,ENSG00000144959|NCEH1
67,ENSG00000121879|PIK3CA
68,ENSG00000114315|HES1
69,ENSG00000061938|TNK2
70,ENSG00000138764|CCNG2
71,ENSG00000118785|SPP1
72,ENSG00000118762|PKD2
73,ENSG00000109320|NFKB1
74,ENSG00000138685|FGF2
75,ENSG00000164134|NAA15
76,ENSG00000164327|RICTOR
77,ENSG00000164171|ITGA2
78,ENSG00000134352|IL6ST
79,ENSG00000173221|GLRX
80,ENSG00000120708|TGFBI
81,ENSG00000120738|EGR1
82,ENSG00000044115|CTNNA1
83,ENSG00000131504|DIAPH1
84,ENSG00000120129|DUSP1
85,ENSG00000196923|PDLIM7
86,ENSG00000078401|EDN1
87,ENSG00000158373|H2BC5
88,ENSG00000137331|IER3
89,ENSG00000204525|HLA-C
90,ENSG00000234745|HLA-B
91,ENSG00000137309|HMGA1
92,ENSG00000007866|TEAD3
93,ENSG00000096060|FKBP5
94,ENSG00000112062|MAPK14
95,ENSG00000112658|SRF
96,ENSG00000112715|VEGFA
97,ENSG00000137216|TMEM63B
98,ENSG00000124813|RUNX2
99,ENSG00000112742|TTK
100,ENSG00000135596|MICAL1
101,ENSG00000152661|GJA1
102,ENSG00000111912|NCOA7
103,ENSG00000118523|CCN2
104,ENSG00000118515|SGK1
105,ENSG00000164442|CITED2
106,ENSG00000130340|SNX9
107,ENSG00000136295|TTYH3
108,ENSG00000242802|AP5Z1
109,ENSG00000075624|ACTB
110,ENSG00000075618|FSCN1
111,ENSG00000136238|RAC1
112,ENSG00000122691|TWIST1
113,ENSG00000164649|CDCA7L
114,ENSG00000050344|NFE2L3
115,ENSG00000146648|EGFR
116,ENSG00000196247|ZNF107
117,ENSG00000189077|TMEM120A
118,ENSG00000106211|HSPB1
119,ENSG00000164692|COL1A2
120,ENSG00000106330|MOSPD3
121,ENSG00000105835|NAMPT
122,ENSG00000105974|CAV1
123,ENSG00000105976|MET
124,ENSG00000128591|FLNC
125,ENSG00000159840|ZYX
126,ENSG00000171130|ATP6V0E2
127,ENSG00000164867|NOS3
128,ENSG00000213199|ASIC3
129,ENSG00000082014|SMARCD3
130,ENSG00000168487|BMP1
131,ENSG00000134013|LOXL2
132,ENSG00000092964|DPYSL2
133,ENSG00000120885|CLU
134,ENSG00000077782|FGFR1
135,ENSG00000168615|ADAM9
136,ENSG00000104321|TRPA1
137,ENSG00000121039|RDH10
138,ENSG00000169398|PTK2
139,ENSG00000105339|DENND3
140,ENSG00000130193|THEM6
141,ENSG00000147813|NAPRT
142,ENSG00000185189|NRBP2
143,ENSG00000178209|PLEC
144,ENSG00000178719|GRINA
145,ENSG00000167702|KIFC2
146,ENSG00000198467|TPM2
147,ENSG00000137076|TLN1
148,ENSG00000165304|MELK
149,ENSG00000106799|TGFBR1
150,ENSG00000136826|KLF4
151,ENSG00000041982|TNC
152,ENSG00000119333|DYNC2I2
153,ENSG00000186350|RXRA
154,ENSG00000148400|NOTCH1
155,ENSG00000173848|NET1
156,ENSG00000026025|VIM
157,ENSG00000095739|BAMBI
158,ENSG00000150093|ITGB1
159,ENSG00000107984|DKK1
160,ENSG00000170312|CDK1
161,ENSG00000171988|JMJD1C
162,ENSG00000148634|HERC4
163,ENSG00000172731|LRRC20
164,ENSG00000166228|PCBD1
165,ENSG00000035403|VCL
166,ENSG00000107796|ACTA2
167,ENSG00000119950|MXI1
168,ENSG00000138162|TACC2
169,ENSG00000142089|IFITM3
170,ENSG00000177666|PNPLA2
171,ENSG00000181649|PHLDA2
172,ENSG00000166333|ILK
173,ENSG00000187079|TEAD1
174,ENSG00000070081|NUCB2
175,ENSG00000205213|LGR4
176,ENSG00000049449|RCN1
177,ENSG00000026508|CD44
178,ENSG00000149743|TRPT1
179,ENSG00000182450|KCNK4
180,ENSG00000251562|MALAT1
181,ENSG00000173039|RELA
182,ENSG00000172757|CFL1
183,ENSG00000162337|LRP5
184,ENSG00000110218|PANX1
185,ENSG00000137672|TRPC6
186,ENSG00000137693|YAP1
187,ENSG00000149311|ATM
188,ENSG00000149591|TAGLN
189,ENSG00000184232|OAF
190,ENSG00000111206|FOXM1
191,ENSG00000197905|TEAD4
192,ENSG00000111319|SCNN1A
193,ENSG00000111674|ENO2
194,ENSG00000139219|COL2A1
195,ENSG00000172819|RARG
196,ENSG00000161638|ITGA5
197,ENSG00000139324|TMTC3
198,ENSG00000136048|DRAM1
199,ENSG00000111199|TRPV4
200,ENSG00000111229|ARPC3
201,ENSG00000089159|PXN
202,ENSG00000276045|ORAI1
203,ENSG00000177169|ULK1
204,ENSG00000136153|LMO7
205,ENSG00000125266|EFNB2
206,ENSG00000157227|MMP14
207,ENSG00000100889|PCK2
208,ENSG00000165410|CFL2
209,ENSG00000100644|HIF1A
210,ENSG00000054654|SYNE2
211,ENSG00000072110|ACTN1
212,ENSG00000170345|FOS
213,ENSG00000119699|TGFB3
214,ENSG00000247092|SNHG10
215,ENSG00000166165|CKB
216,ENSG00000142208|AKT1
217,ENSG00000185347|TEDC1
218,ENSG00000104067|TJP1
219,ENSG00000159251|ACTC1
220,ENSG00000166710|B2M
221,ENSG00000092439|TRPM7
222,ENSG00000047346|FAM214A
223,ENSG00000171914|TLN2
224,ENSG00000140416|TPM1
225,ENSG00000166949|SMAD3
226,ENSG00000136425|CIB2
227,ENSG00000157766|ACAN
228,ENSG00000185551|NR2F2
229,ENSG00000140443|IGF1R
230,ENSG00000242612|DECR2
231,ENSG00000065054|SLC9A3R2
232,ENSG00000008710|PKD1
233,ENSG00000185883|ATP6V0C
234,ENSG00000162076|FLYWCH2
235,ENSG00000162073|PAQR4
236,ENSG00000103145|HCFC1R1
237,ENSG00000186260|MRTFB
238,ENSG00000233024|NPIPA9
239,ENSG00000079616|KIF22
240,ENSG00000103495|MAZ
241,ENSG00000013364|MVP
242,ENSG00000149932|TMEM219
243,ENSG00000102882|MAPK3
244,ENSG00000099385|BCL7C
245,ENSG00000171241|SHCBP1
246,ENSG00000224578|HNRNPA1L3
247,ENSG00000177200|CHD9
248,ENSG00000087245|MMP2
249,ENSG00000125148|MT2A
250,ENSG00000125170|DOK4
251,ENSG00000103005|USB1
252,ENSG00000179776|CDH5
253,ENSG00000039068|CDH1
254,ENSG00000050820|BCAR1
255,ENSG00000103187|COTL1
256,ENSG00000103257|SLC7A5
257,ENSG00000103335|PIEZO1
258,ENSG00000167513|CDT1
259,ENSG00000258947|TUBB3
260,ENSG00000196689|TRPV1
261,ENSG00000129219|PLD2
262,ENSG00000133026|MYH10
263,ENSG00000108691|CCL2
264,ENSG00000168610|STAT3
265,ENSG00000177469|CAVIN1
266,ENSG00000108840|HDAC5
267,ENSG00000161714|PLCD3
268,ENSG00000259207|ITGB3
269,ENSG00000108821|COL1A1
270,ENSG00000141232|TOB1
271,ENSG00000008283|CYB561
272,ENSG00000261371|PECAM1
273,ENSG00000125398|SOX9
274,ENSG00000109062|SLC9A3R1
275,ENSG00000167900|TK1
276,ENSG00000035862|TIMP2
277,ENSG00000184009|ACTG1
278,ENSG00000225663|MCRIP1
279,ENSG00000154864|PIEZO2
280,ENSG00000067900|ROCK1
281,ENSG00000170558|CDH2
282,ENSG00000046604|DSG2
283,ENSG00000175387|SMAD2
284,ENSG00000070404|FSTL3
285,ENSG00000064666|CNN2
286,ENSG00000130005|GAMT
287,ENSG00000005206|SPPL2B
288,ENSG00000104964|TLE5
289,ENSG00000064961|HMG20B
290,ENSG00000186111|PIP5K1C
291,ENSG00000090339|ICAM1
292,ENSG00000105520|PLPPR2
293,ENSG00000171223|JUNB
294,ENSG00000074181|NOTCH3
295,ENSG00000127528|KLF2
296,ENSG00000130522|JUND
297,ENSG00000130513|GDF15
298,ENSG00000130511|SSBP4
299,ENSG00000105655|ISYNA1
300,ENSG00000105738|SIPA1L3
301,ENSG00000105329|TGFB1
302,ENSG00000077348|EXOSC5
303,ENSG00000011422|PLAUR
304,ENSG00000073008|PVR
305,ENSG00000007255|TRAPPC6A
306,ENSG00000130748|TMEM160
307,ENSG00000024422|EHD2
308,ENSG00000142227|EMP3
309,ENSG00000087086|FTL
310,ENSG00000130529|TRPM4
311,ENSG00000074219|TEAD2
312,ENSG00000167685|ZNF444
313,ENSG00000088826|SMOX
314,ENSG00000101384|JAG1
315,ENSG00000125968|ID1
316,ENSG00000197122|SRC
317,ENSG00000132819|RBM38
318,ENSG00000125534|PPDPF
319,ENSG00000125520|SLC2A4RG
320,ENSG00000154734|ADAMTS1
321,ENSG00000198862|LTN1
322,ENSG00000198743|SLC5A3
323,ENSG00000160226|CFAP410
324,ENSG00000142156|COL6A1
325,ENSG00000100030|MAPK1
326,ENSG00000186575|NF2
327,ENSG00000100292|HMOX1
328,ENSG00000100345|MYH9
329,ENSG00000100097|LGALS1
330,ENSG00000100151|PICK1
331,ENSG00000185022|MAFF
332,ENSG00000100242|SUN2
333,ENSG00000196588|MRTFA
334,ENSG00000196576|PLXNB2
335,ENSG00000147010|SH3KBP1
336,ENSG00000102265|TIMP1
337,ENSG00000015285|WAS
338,ENSG00000102024|PLS3
339,ENSG00000102081|FMR1
340,ENSG00000196924|FLNA
341,ENSG00000102119|EMD
342,ENSG00000130827|PLXNA3
343,ENSG00000164920|OSR2
